№з/п;Договір №;від;ЄДРПОУ контрагента;Назва контрагента;Предмет договору;Код CPV (розділ);Обсяг платежів, грн.
;;;;І.ТОВАРИ;;;
1;42963;16.08.2016;;ФОП Скачкова Н.О.;Електроди;31000000-6;520.00
1;16/0;16.08.2016;;ФОП Скачкова Н.О.;Рукавиці;18000000-9;204.00
1;11;22.01.2016;38958137;"ТОВ ""Гараж автозапчастини""";Фільтри;42000000-6;3482.12
1;11;22.01.2016;38958137;"ТОВ ""Гараж автозапчастини""";Шини;19000000-6;3468.00
1;б/н;;35904141;"ТОВ ""Гідрохаус""";Герметик;39000000-2;482.01
1;б/н;;35904141;"ТОВ ""Гідрохаус""";Конструкційні матеріали;44000000-0;9110.91
1;0509/16;05.09.2016;37946471;"ТОВ ""ФВ Пласт Україна""";Насос, крани;42000000-6;100779.90
1;0509/16;05.09.2016;37946471;"ТОВ ""ФВ Пласт Україна""";Вироби з поліпропелену;44000000-0;7935.97
1;0509/16;05.09.2016;37946471;"ТОВ ""ФВ Пласт Україна""";Вазелін;24000000-4;161.16
1;43466;04.03.2016;32839447;"ТОВ ""Овідій плюс""";Генератор;31000000-6;15000.00
1;1/102;21.07.2016;32839447;"ТОВ ""Овідій плюс""";Зварювальний апарат, шурупокрут;42000000-6;5538.00
1;1/102;21.07.2016;32839447;"ТОВ ""Овідій плюс""";Диск відрізний;14000000-1;297.00
1;1/102;21.07.2016;32839447;"ТОВ ""Овідій плюс""";Електроди;31000000-6;660.00
1;1/102;21.07.2016;32839447;"ТОВ ""Овідій плюс""";Конструкційні матеріали;44000000-0;11923.60
1;42956;09.08.2016;32839447;"ТОВ ""Овідій плюс""";Промислова техніка;42000000-6;25704.00
1;1/155;15.11.2016;32839447;"ТОВ ""Овідій плюс""";Конструкційні матеріали;44000000-0;18000.00
1;42958;11.08.2016;32839447;"ТОВ ""Овідій плюс""";Промислова техніка;42000000-6;3825.39
1;42958;11.08.2016;32839447;"ТОВ ""Овідій плюс""";Подовжувач на котушці;31000000-6;555.00
1;42958;11.08.2016;32839447;"ТОВ ""Овідій плюс""";Конструкційні матеріали;44000000-0;39436.16
1;42958;11.08.2016;32839447;"ТОВ ""Овідій плюс""";Карбід;24000000-4;1600.00
1;1/140;01.12.2016;20954500;"ПФ ""Квант""";Мотоножниці;42000000-6;66977.04
1;27395;16.06.2016;20954500;"ПФ ""Квант""";Травокосарка;42000000-6;19939.00
1;21;10.02.2016;20954500;"ПФ ""Квант""";Промислова техніка;42000000-6;25027.00
1;21;10.02.2016;20954500;"ПФ ""Квант""";Насіння газонних травосумішей;03000000-1;13230.00
1;21;10.02.2016;20954500;"ПФ ""Квант""";Конструкційні матеріали;44000000-0;10517.00
1;21;10.02.2016;20954500;"ПФ ""Квант""";Корд ;19000000-6;4476.00
1;21;10.02.2016;20954500;"ПФ ""Квант""";Диск ріжучий;14000000-1;528.00
1;1/153;11.11.2016;34552595;"ТОВ ""Авто трейд вім""";Ліхтар ;34000000-7;4159.97
1;1/160;23.11.2016;34552595;"ТОВ ""Авто трейд вім""";Аерозоль;24000000-4;95.00
1;1/160;23.11.2016;34552595;"ТОВ ""Авто трейд вім""";Запчастини;34000000-7;2770.98
1;1/160;23.11.2016;34552595;"ТОВ ""Авто трейд вім""";Герметик;39000000-2;40.00
1;1/160;23.11.2016;34552595;"ТОВ ""Авто трейд вім""";Вогнегасник;35000000-4;180.00
1;1/160;23.11.2016;34552595;"ТОВ ""Авто трейд вім""";Стрічка світовідбиваюча;44000000-0;42.01
1;1/150;23.05.2016;34552595;"ТОВ ""Авто трейд вім""";Запчастини;34000000-7;4089.97
1;1/150;23.05.2016;34552595;"ТОВ ""Авто трейд вім""";Промислова техніка;42000000-6;140.02
1;2;06.01.2015;34552595;"ТОВ ""Авто трейд вім""";Лампи;31000000-6;2521.99
1;2;06.01.2015;34552595;"ТОВ ""Авто трейд вім""";Герметик;39000000-2;159.98
1;2;06.01.2015;34552595;"ТОВ ""Авто трейд вім""";Запчастини;34000000-7;14608.89
1;2;06.01.2015;34552595;"ТОВ ""Авто трейд вім""";Промислова техніка;42000000-6;140.02
1;2;06.01.2015;34552595;"ТОВ ""Авто трейд вім""";Стрічка світовідбиваюча;44000000-0;70.02
1;2;06.01.2015;34552595;"ТОВ ""Авто трейд вім""";Антифріз, тосол;24000000-4;985.00
1;1/117;15.09.2016;;ФОП Мельничук І.Є.;Шини;19000000-6;6120.00
1;1/143;19.10.2016;;ФОП Мельничук І.Є.;Конструкційні матеріали;44000000-0;1554.00
1;1/143;19.10.2016;;ФОП Мельничук І.Є.;Запчастини;34000000-7;11781.00
1;1/143;19.10.2016;;ФОП Мельничук І.Є.;Вилка з розеткою;31000000-6;588.00
1;1/143;19.10.2016;;ФОП Мельничук І.Є.;Ізоляційна стрічка;19000000-6;84.00
1;43070;16.02.2016;;ФОП Мельничук І.Є.;Запчастини;34000000-7;4146.00
1;32509;29.06.2016;;ФОП Мельничук І.Є.;Запчастини;34000000-7;6618.00
1;42370;04.03.2016;;ФОП Мельничук І.Є.;Запчастини;34000000-7;6795.00
1;42370;04.03.2016;;ФОП Мельничук І.Є.;Конструкційні матеріали;44000000-0;780.00
1;б/н;;;ФОП Мельничук І.Є.;Конструкційні матеріали;44000000-0;3585.00
1;б/н;;;ФОП Мельничук І.Є.;Електроматеріали;31000000-6;8598.00
1;б/н;;;ФОП Мельничук І.Є.;Диск відрізний;14000000-1;105.00
1;б/н;;;ФОП Мельничук І.Є.;Герметик;39000000-2;66.00
1;б/н;;;ФОП Мельничук І.Є.;Тосол, антифріз,автопаста;24000000-4;2022.00
1;б/н;;;ФОП Мельничук І.Є.;Промислова техніка;42000000-6;51.00
1;б/н;;;ФОП Мельничук І.Є.;Гумові та пластмасові вироби;19000000-6;276.00
1;б/н;;;ФОП Мельничук І.Є.;Запчастини;34000000-7;36777.00
1;37184;20.10.2016;37015541;"ТОВ ""Савтрейд""";Одяг, взуття;18000000-9;193335.00
1;37176;12.10.2016;37015541;"ТОВ ""Савтрейд""";Лопата, льодоруб, совок;44000000-0;32874.80
1;б/н;06.10.2016;37015541;"ТОВ ""Савтрейд""";Конструкційні матеріали;44000000-0;16267.20
1;1/210;14.12.2016;37015541;"ТОВ ""Савтрейд""";Черевики робочі;18000000-9;30990.00
1;1/209;14.12.2016;37015541;"ТОВ ""Савтрейд""";Шланг для поливу, візок для шлангу, пістолет-розпилювач ;44000000-0;39309.00
1;1/208;14.12.2016;37015541;"ТОВ ""Савтрейд""";Одяг;18000000-9;18147.00
1;1/207;14.12.2016;37015541;"ТОВ ""Савтрейд""";Рукавиці;18000000-9;5976.00
1;1/206;14.12.2016;37015541;"ТОВ ""Савтрейд""";Сіль, пісок;14000000-1;49999.20
1;1/205;14.12.2016;37015541;"ТОВ ""Савтрейд""";Костюм;18000000-9;18900.00
1;б/н;29.09.2016;37015541;"ТОВ ""Савтрейд""";Граблі;44000000-0;10080.00
1;42757;22.01.2014;37015541;"ТОВ ""Савтрейд""";Вазелін;24000000-4;550.50
1;42757;22.01.2014;37015541;"ТОВ ""Савтрейд""";Герметик;39000000-2;2704.70
1;42757;22.01.2014;37015541;"ТОВ ""Савтрейд""";Конструкційні матеріали;44000000-0;50244.16
1;1/137;12.10.2016;13888197;"ТОВ ""Автодор""";Пісок;14000000-1;34999.08
Усього за розділом І (ТОВАРИ);;;;;;;9393657.97
;;;;ІІ.РОБОТИ;;;
2;8;18.03.2013;34421853;"ТОВ ""Апогєй""";технічне обслуговування ліфтів;45000000-7;2492732.50
2;1/180;06.12.2016;34421853;"ТОВ ""Апогєй""";встановлення дверей з домофоном;45000000-7;20219.94
2;1/181;06.12.2016;34421853;"ТОВ ""Апогєй""";встановлення дверей з домофоном;45000000-7;22045.72
2;1/182;06.12.2016;34421853;"ТОВ ""Апогєй""";встановлення дверей з домофоном;45000000-7;20219.94
2;1/183;06.12.2016;34421853;"ТОВ ""Апогєй""";встановлення дверей з домофоном;45000000-7;19873.51
2;янв.70;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.68;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.62;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;211835.43
2;янв.64;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.63;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.65;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.67;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.66;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
